seq_id	pfam_id	pfam_desc	supfam_id	supfam_desc
Q9UM82				
Q9UMX2	PF02100	ODC_AZ	SSF55729	Acyl-CoA N-acyltransferases (Nat)
Q9UMX9	PF13347	MFS_2	SSF103473	MFS general substrate transporter
Q9UN36	PF03096	Ndr	SSF53474	alpha/beta-Hydrolases
Q9UNA3	PF04488	Gly_transf_sug	SSF53448	Nucleotide-diphospho-sugar transferases
Q9UNP4	PF00777	Glyco_transf_29		
Q9UPQ8				
Q9UPT5	PF03081	Exo70	SSF74788	Cullin repeat-like
Q9UPX6	PF06789	MINAR1_C		
Q9UQ05	PF13426	PAS_9	SSF81324	Voltage-gated potassium channels
Q9UQ53	PF04666	Glyco_transf_54		
Q9UQC9	PF08434	CLCA	SSF53300	vWA-like
Q9Y217	PF06602	Myotub-related	SSF50729	PH domain-like
Q9Y237	PF13616	Rotamase_3	SSF54534	FKBP-like
Q9Y274	PF00777	Glyco_transf_29		
Q9Y282	PF13850	ERGIC_N		
Q9Y2B4	PF15331	TP53IP5		
Q9Y2K5	PF01424	R3H	SSF82708	R3H domain
Q9Y2M2				
Q9Y2V0	PF14811	TPD		
Q9Y2W3	PF07690	MFS_1	SSF103473	MFS general substrate transporter
Q9Y385	PF00179	UQ_con	SSF54495	UBC-like
Q9Y3A0	PF05019	Coq4		
Q9Y3E5	PF01981	PTH2	SSF102462	Peptidyl-tRNA hydrolase II
Q9Y3V2	PF05773	RWD	SSF54495	UBC-like
Q9Y4C2	PF13402	Peptidase_M60	SSF52317	Class I glutamine amidotransferase-like
Q9Y5W7	PF00615	RGS	SSF48097	Regulator of G-protein signaling, RGS
Q9Y5Z9	PF01040	UbiA		
Q9Y664			SSF69318	Integrin alpha N-terminal domain
Q9Y679	PF02845	CUE	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q9Y6I7	PF00400	WD40	SSF50978	WD40 repeat-like
Q9Y6N1	PF04442	CtaG_Cox11	SSF110111	Ctag/Cox11
Q9Y6Q1	PF00648	Peptidase_C2	SSF54001	Cysteine proteinases
A2A3K4	PF00782	DSPc	SSF52799	(Phosphotyrosine protein) phosphatases II
A6NFK2			SSF57938	DnaJ/Hsp40 cysteine-rich domain
A6NFR6				
A6NGC4	PF03798	TRAM_LAG1_CLN8		
A6NKF1	PF03399	SAC3_GANP		
A6NMN3	PF17734	Spt46		
O14599				
O60811			SSF52047	RNI-like
O75493	PF00194	Carb_anhydrase	SSF51069	Carbonic anhydrase
P03901	PF00420	Oxidored_q2		
P0DUQ2			SSF52047	RNI-like
P57775	PF00400	WD40	SSF50978	WD40 repeat-like
P59533	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59534	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59535	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59537	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59538	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59540	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59543	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q12788	PF00400	WD40	SSF50969	YVTN repeat-like/Quinoprotein amine dehydrogenase
Q14201	PF07742	BTG	SSF160696	BTG domain-like
Q15486			SSF49303	beta-Galactosidase/glucuronidase domain
Q2MJR0	PF00568	WH1	SSF50729	PH domain-like
Q569H4	PF15252	DUF4589		
Q5SRI9	PF16317	Glyco_hydro_99	SSF51445	(Trans)glycosidases
Q5T0L3	PF17734	Spt46		
Q5TYM5	PF14976	FAM72		
Q5VXH4			SSF52047	RNI-like
Q6DHY5	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
Q6EKJ0	PF18658	zf-C2H2_12	SSF53098	Ribonuclease H-like
Q6GPH6	PF20266	Mab-21_C		
Q6IPR3	PF02676	TYW3	SSF111278	SSo0622-like
Q6NVV7	PF10170	C6_DPF		
Q6P1R4	PF01207	Dus	SSF51395	FMN-linked oxidoreductases
Q6PJ21	PF00622	SPRY	SSF49899	Concanavalin A-like lectins/glucanases
Q6UX53	PF08241	Methyltransf_11	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q6VUC0	PF03299	TF_AP-2		
Q6ZSG2	PF15265	FAM196		
Q6ZTR7	PF06730	FAM92	SSF103657	BAR/IMD domain-like
Q70Z53	PF09725	Fra10Ac1		
Q71RH2	PF03798	TRAM_LAG1_CLN8		
Q7L3T8	PF00587	tRNA-synt_2b	SSF55681	Class II aaRS and biotin synthetases
Q7L9B9	PF12836	HHH_3	SSF47781	RuvA domain 2-like
Q7Z695	PF03109	ABC1	SSF56112	Protein kinase-like (PK-like)
Q7Z7J5	PF14049	Dppa2_A		
Q86TN4	PF01885	PTS_2-RNA	SSF56399	ADP-ribosylation
Q86UB9	PF15982	TMEM135_C_rich		
Q86UP8	PF02946	GTF2I	SSF53098	Ribonuclease H-like
Q86V21	PF00501	AMP-binding	SSF56801	Acetyl-CoA synthetase-like
Q86W67				
Q8IUE0	PF05920	Homeobox_KN	SSF46689	Homeodomain-like
Q8IWA0	PF00400	WD40	SSF50998	Quinoprotein alcohol dehydrogenase-like
Q8IXT1	PF08646	Rep_fac-A_C	SSF50249	Nucleic acid-binding proteins
Q8IZF7	PF01825	GPS		
Q8N3X6	PF05225	HTH_psq	SSF46689	Homeodomain-like
Q8N5C7	PF03942	DTW		
Q8N8K9	PF12012	DUF3504		
Q8N954	PF01585	G-patch		
Q8NBV4	PF01569	PAP2	SSF48317	Acid phosphatase/Vanadium-dependent haloperoxidase
Q8NDB6	PF15549	PGC7_Stella		
Q8NEE6	PF13516	LRR_6	SSF52047	RNI-like
Q8NFN8	PF00003	7tm_3		
Q8TB03	PF15112	DUF4559		
Q8TB96	PF13517	FG-GAP_3	SSF69318	Integrin alpha N-terminal domain
Q8TBF5	PF08320	PIG-X		
Q8TBP0	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
Q8TBZ0				
Q8TET4	PF01055	Glyco_hydro_31	SSF51011	Glycosyl hydrolase domain
Q8TF05	PF15017	WRNPLPNID	SSF48371	ARM repeat
Q8WYN3	PF16019	CSRNP_N		
Q92561	PF19281	PHYHIP_C	SSF49265	Fibronectin type III
Q92747	PF00400	WD40	SSF50978	WD40 repeat-like
Q96A46	PF00153	Mito_carr	SSF103506	Mitochondrial carrier
Q96EK7			SSF88723	PIN domain-like
Q96FC7	PF19281	PHYHIP_C	SSF49265	Fibronectin type III
Q96FN5	PF00225	Kinesin	SSF52540	P-loop containing nucleoside triphosphate hydrolases
Q96FV2	PF03577	Peptidase_C69		
Q96GE9	PF15055	DUF4536		
Q96GX2				
Q96ME1	PF19729	FBXL18_LRR	SSF52047	RNI-like
Q96PQ7	PF01344	Kelch_1	SSF54695	POZ domain
Q96RP8	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q96S96	PF01161	PBP	SSF49777	PEBP-like
Q96SY0	PF13519	VWA_2	SSF53300	vWA-like
Q9BRP4	PF00400	WD40	SSF50978	WD40 repeat-like
Q9BSJ5				
Q9GZP4	PF06201	PITH	SSF49785	Galactose-binding domain-like
Q9H061	PF07114	TMEM126		
Q9H0C3	PF15113	TMEM117		
Q9H0X4			SSF50998	Quinoprotein alcohol dehydrogenase-like
Q9H175	PF16019	CSRNP_N		
Q9H3C7				
Q9H7C9	PF04430	DUF498	SSF64076	MTH938-like
Q9HAT1	PF03388	Lectin_leg-like	SSF49899	Concanavalin A-like lectins/glucanases
Q9HCI6			SSF53098	Ribonuclease H-like
Q9HCN8	PF02815	MIR	SSF82109	MIR domain
Q9HD64				
Q9NPB8	PF03009	GDPD	SSF49452	Starch-binding domain-like
Q9NWC5	PF04819	DUF716		
Q9NXL6	PF13965	SID-1_RNA_chan		
Q9NYV9	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q9NYW1	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q9NYW2	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q9NYW3	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q9NYW6	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q9UBL0	PF12752	SUZ	SSF82708	R3H domain
Q9Y2B2	PF02585	PIG-L	SSF102588	LmbE-like
Q9Y334			SSF53300	vWA-like
Q9Y471	PF13483	Lactamase_B_3	SSF56281	Metallo-hydrolase/oxidoreductase
A0A087WVF3	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
A0A087X179	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
A0A0B4J2D5			SSF52317	Class I glutamine amidotransferase-like
A0A0U1RQF7				
A1A4F0				
A4D1S0	PF00059	Lectin_C	SSF56436	C-type lectin-like
A6NDS4	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
A6NER0	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
A6NG13	PF04666	Glyco_transf_54		
A6NHN6	PF06409	NPIP		
A8MPX8	PF00481	PP2C	SSF81606	PP2C-like
A8MQ11			SSF55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
C9JLR9	PF18658	zf-C2H2_12		
O60739	PF01253	SUI1	SSF55159	eIF1-like
O95170	PF00400	WD40	SSF50978	WD40 repeat-like
O95521			SSF52047	RNI-like
P0C7X1	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
P0C860	PF05712	MRG		
P0DPI2			SSF52317	Class I glutamine amidotransferase-like
P59536	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59539	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59541	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59544	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P59551	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q0P651	PF09752	ABHD18	SSF53474	alpha/beta-Hydrolases
Q13536				
Q14582	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q16048	PF05824	Pro-MCH		
Q49A92	PF17824	DUF5586	SSF47391	Dimerization-anchoring domain of cAMP-dependent PK regulatory subunit
Q5BKX6	PF13347	MFS_2	SSF103473	MFS general substrate transporter
Q5GH70	PF09815	XK-related		
Q5GH73	PF09815	XK-related		
Q5GH77	PF09815	XK-related		
Q5JXM2	PF13383	Methyltransf_22		
Q5SV17	PF15207	TMEM240		
Q5T1A1	PF07782	DC_STAMP		
Q5T1N1	PF12443	AKNA		
Q5T5J6	PF13638	PIN_4	SSF88723	PIN domain-like
Q5T6J7	PF01202	SKI	SSF52540	P-loop containing nucleoside triphosphate hydrolases
Q5T7M9	PF14875	PIP49_N		
Q5TGY1	PF05277	DUF726	SSF53474	alpha/beta-Hydrolases
Q5U3C3	PF14808	TMEM164		
Q5VUD6	PF14875	PIP49_N		
Q5W0A0	PF14977	FAM194		
Q6F5E7				
Q6IPX1	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
Q6L9T8	PF14976	FAM72		
Q6NSI8	PF11822	SANBR_BTB		
Q6NT04	PF03221	HTH_Tnp_Tc5	SSF46689	Homeodomain-like
Q6P387	PF15032	DUF4529		
Q6PH81	PF10571	UPF0547		
Q6PJ61	PF12937	F-box-like	SSF81383	F-box domain
Q6ZN84	PF18289	HU-CCDC81_euk_2		
Q6ZRR5	PF03798	TRAM_LAG1_CLN8		
Q6ZU67	PF10523	BEN		
Q7L0X2	PF14977	FAM194		
Q7Z4R8	PF17065	UPF0669		
Q86SI9				
Q86X60	PF14976	FAM72		
Q86Y79	PF01195	Pept_tRNA_hydro	SSF53178	Peptidyl-tRNA hydrolase-like
Q8IW70	PF14857	TMEM151		
Q8N1A6				
Q8N4S0	PF13926	DUF4211		
Q8NC74	PF10482	CtIP_N		
Q8ND61	PF14977	FAM194		
Q8NDY6	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q8NEC7	PF13679	Methyltransf_32	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q8NG41	PF15180	NPBW		
Q8TAV0	PF16046	FAM76		
Q8TAV5	PF17731	DUF5570		
Q8TBP6	PF00153	Mito_carr	SSF103506	Mitochondrial carrier
Q8TBR7	PF03798	TRAM_LAG1_CLN8		
Q8TC26			SSF161111	Cation efflux protein transmembrane domain-like
Q8TC90	PF15482	CCER1		
Q8TF61	PF12937	F-box-like	SSF52047	RNI-like
Q8WW18	PF15470	DUF4637		
Q8WW52	PF10223	DUF2181		
Q96EZ4				
Q96FB5	PF13679	Methyltransf_32	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q96KD3	PF12480	DUF3699		
Q96KF2				
Q96KV6	PF07686	V-set	SSF48726	Immunoglobulin
Q96NA8	PF14523	Syntaxin_2	SSF47661	t-snare proteins
Q96T75				
Q99470	PF02815	MIR	SSF82109	MIR domain
Q9BQE6	PF15317	Lbh		
Q9BTV7	PF00134	Cyclin_N	SSF47954	Cyclin-like
Q9BUJ0	PF12697	Abhydrolase_6	SSF53474	alpha/beta-Hydrolases
Q9GZU3	PF10271	Tmp39		
Q9H0K4	PF04712	Radial_spoke		
Q9H1Q7	PF13839	PC-Esterase	SSF52266	SGNH hydrolase
Q9H4I0	PF04825	Rad21_Rec8_N	SSF46785	Winged helix' DNA-binding domain
Q9H972	PF15394	DUF4616		
Q9NQF3	PF00561	Abhydrolase_1	SSF53474	alpha/beta-Hydrolases
Q9NYS7	PF00400	WD40	SSF50978	WD40 repeat-like
Q9P215	PF01352	KRAB	SSF109640	KRAB domain (Kruppel-associated box)
Q9P2F5	PF10264	Stork_head		
Q9UBI9	PF15353	HECA		
Q9UGV2	PF03096	Ndr	SSF53474	alpha/beta-Hydrolases
Q9UH36	PF07985	SRR1		
Q9UND3	PF06409	NPIP		
Q9UPR6	PF12874	zf-met	SSF57667	beta-beta-alpha zinc fingers
Q9XRX5				
Q9Y4A0	PF03221	HTH_Tnp_Tc5	SSF46689	Homeodomain-like
Q9Y5P2				
A0A087WXS9	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
A0A087X1G2	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
A0A0B4J1W7	PF06409	NPIP		
A0A0G2JMD5			SSF52047	RNI-like
A0A183	PF15858	LCE6A		
A0A1B0GTH6				
A0A1B0GUV7				
A0A1B0GVM6				
A2RU67			SSF50998	Quinoprotein alcohol dehydrogenase-like
A3QJZ6			SSF52047	RNI-like
A3QJZ7			SSF52047	RNI-like
A6NDY2	PF15288	zf-CCHC_6		
A6NFA0	PF15371	DUF4599		
A6NFN9	PF00240	ubiquitin	SSF54236	Ubiquitin-like
A6NFZ4	PF15193	FAM24		
A6NGN4			SSF52047	RNI-like
A6NIJ5	PF15288	zf-CCHC_6		
A6NJ64	PF06409	NPIP		
A6NJJ6	PF11771	DUF3314		
A6NJQ4	PF15288	zf-CCHC_6		
A6NKC0	PF15288	zf-CCHC_6		
A6NLC5	PF15823	UPF0524		
A6NMK8	PF15265	FAM196		
A6NNA2	PF15230	SRRM_C		
A6NNJ1	PF15288	zf-CCHC_6		
A8MUL3				
A8MWA6	PF15288	zf-CCHC_6		
A8MX19	PF15288	zf-CCHC_6		
A8MXJ8	PF15288	zf-CCHC_6		
A8MXZ1	PF15288	zf-CCHC_6		
A8MYA2	PF15483	DUF4641		
B1ANY3	PF15487	FAM220		
B2RBV5	PF15155	MRFAP1		
B2RXF0				
B7Z368	PF17713	DUF5558		
B9A6J9	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
C9J202			SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase
D6RGX4	PF15288	zf-CCHC_6		
E9PIF3	PF06409	NPIP		
E9PJ23	PF06409	NPIP		
E9PKD4	PF06409	NPIP		
E9PQR5	PF06409	NPIP		
F8WFD2	PF06409	NPIP		
H0Y354	PF14976	FAM72		
H0Y7S4			SSF52047	RNI-like
H3BPM6	PF16044	DUF4796		
O60809			SSF52047	RNI-like
O60810			SSF52047	RNI-like
O60813			SSF52047	RNI-like
O76042				
O95522			SSF52047	RNI-like
O95561	PF15081	DUF4548		
P09565				
P0C6P0	PF15787	DUF4704		
P0C7V4	PF15288	zf-CCHC_6		
P0C7W8	PF15288	zf-CCHC_6		
P0C7W9	PF15288	zf-CCHC_6		
P0C7X0	PF15288	zf-CCHC_6		
P0C7X3	PF00134	Cyclin_N	SSF47954	Cyclin-like
P0C854				
P0C874	PF14650	FAM75		
P0DO92				
P0DPA3				
P0DSN6	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P0DTE0	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P0DUQ1			SSF52047	RNI-like
P0DV73	PF15288	zf-CCHC_6		
P0DV74	PF15288	zf-CCHC_6		
P0DV75	PF15288	zf-CCHC_6		
P0DV76	PF15288	zf-CCHC_6		
P58417	PF06312	Neurexophilin		
P59037				
P61568	PF13804	HERV-K_env_2		
Q0P6D6				
Q0P6H9	PF00149	Metallophos	SSF56300	Metallo-dependent phosphatases
Q0VDI3				
Q14CX5	PF13347	MFS_2	SSF103473	MFS general substrate transporter
Q17RG1	PF02214	BTB_2	SSF54695	POZ domain
Q17RP2	PF03221	HTH_Tnp_Tc5	SSF46689	Homeodomain-like
Q2TB18	PF00752	XPG_N	SSF88723	PIN domain-like
Q32M92				
Q32NC0	PF15719	DUF4674		
Q3C1V9			SSF52025	PA domain
Q3LI62				
Q4G0G2				
Q4G0N7	PF14982	UPF0731		
Q4W5G0	PF03221	HTH_Tnp_Tc5	SSF46689	Homeodomain-like
Q569K6				
Q5BKU9	PF09791	Oxidored-like		
Q5QFB9				
Q5R3I4			SSF48452	TPR-like
Q5SWL8			SSF52047	RNI-like
Q5T4H9				
Q5T9Z0	PF04819	DUF716		
Q5TYX0			SSF52047	RNI-like
Q5VT98			SSF52047	RNI-like
Q5VTA0			SSF52047	RNI-like
Q5VWM3			SSF52047	RNI-like
Q5VWM4			SSF52047	RNI-like
Q5VWM6			SSF52047	RNI-like
Q5VXH5			SSF52047	RNI-like
Q5VZI3	PF14800	DUF4481		
Q658T7	PF15288	zf-CCHC_6		
Q6GMV3	PF01981	PTH2	SSF102462	Peptidyl-tRNA hydrolase II
Q6NUI1				
Q6P1M9	PF04826	Arm_2	SSF48371	ARM repeat
Q6P3X8	PF13843	DDE_Tnp_1_7		
Q6URK8				
Q6UXP7	PF10223	DUF2181		
Q6ZS62				
Q6ZUB0	PF14650	FAM75		
Q6ZUL3	PF17707	DUF5553		
Q6ZVN7	PF17697	DUF5543		
Q7Z5U6	PF00400	WD40	SSF50978	WD40 repeat-like
Q86UQ5				
Q86VZ2	PF00400	WD40	SSF50978	WD40 repeat-like
Q86XI8	PF17738	DUF5575		
Q8IYQ7	PF14821	Thr_synth_N	SSF53686	Tryptophan synthase beta subunit-like PLP-dependent enzymes
Q8N123				
Q8N326				
Q8N4L4	PF15670	Spem1		
Q8N535				
Q8N6C7				
Q8N6Q8	PF13679	Methyltransf_32	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q8N7Q2				
Q8N999	PF17720	DUF5565		
Q8NA57	PF15663	zf-CCCH_3		
Q8NAJ2				
Q8NHX4	PF15662	SPATA3		
Q8TAL5	PF15504	DUF4647		
Q8WUY1	PF13279	4HBT_2	SSF54637	Thioesterase/thiol ester dehydrase-isomerase
Q96LS8				
Q96MC9				
Q96MD7	PF10217	DUF2039		
Q96MH6	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q96MU5				
Q96MW7	PF03221	HTH_Tnp_Tc5	SSF46689	Homeodomain-like
Q96NS8				
Q9BR46				
Q9BRP1	PF04194	PDCD2_C		
Q9H0P7				
Q9H7B7				
Q9H819	PF09320	DUF1977	SSF46565	Chaperone J-domain
Q9NQ32	PF15057	DUF4537		
Q9NWW7	PF14952	zf-tcix		
Q9NX31	PF05604	DUF776		
Q9NZY2				
Q9Y442				
Q9Y5L5	PF15221	LEP503		
A0A024RCN7	PF17709	DUF5554		
A0A1B0GTH9	PF13913	zf-C2HC_2		
A0A1B0GTK4				
A0A1B0GUQ0				
A0A1B0GUT2				
A0A1B0GUU1				
A0A1B0GV22				
A0A1B0GVB3				
A0A1B0GVD1				
A0A1B0GWI6	PF15483	DUF4641		
A0A1W2PPM0			SSF49303	beta-Galactosidase/glucuronidase domain
A0A494C0N9				
A0A494C0Y3				
A0A6Q8PFD8				
A0A6Q8PGL7				
A0A8I5QJS6				
A0A8I5QKY2				
A0A8V8TNH8	PF15288	zf-CCHC_6		
A0A8V8TPE2	PF15288	zf-CCHC_6		
A0A8V8TPW1				
A4D1N5				
A4D250				
A6NNH2	PF15288	zf-CCHC_6		
A8K554				
A8MUN3				
A8MWE9			SSF47473	EF-hand
B3KNS4	PF15695	HERV-K_REC		
C9J302	PF15849	DUF4722		
F2Z398				
H3BQW9	PF14982	UPF0731		
H3BU10	PF17244	CDC24_OB3	SSF50249	Nucleic acid-binding proteins
P0DKL9	PF14949	ARF7EP_C		
Q17RA5				
Q495D7				
Q4W4Y0				
Q52M75				
Q5T1J6				
Q5TEZ5				
Q5VUE5	PF17653	DUF5522		
Q6IC83				
Q6UY13			SSF49842	TNF-like
Q6W349				
Q6ZMV7				
Q6ZP68				
Q6ZRU5				
Q6ZSR6				
Q6ZTR6				
Q6ZUG5				
Q6ZVL8				
Q6ZVU0				
Q71F78				
Q8N812	PF17695	DUF5541		
Q8N814				
Q8N8G6				
Q8N8V8				
Q8NAE3				
Q8WU49	PF17702	DUF5548		
Q8WXQ3				
Q96KX1	PF15022	DUF4522		
Q96M42				
Q96MF0				
Q9BZ98				
Q9H2U6				
Q9H379				
Q9H693	PF15132	DUF4568		
A5JYS0	PF05023	Phytochelatin	SSF54001	Cysteine proteinases
B2D6M2	PF02820	MBT	SSF63748	Tudor/PWWP/MBT
F5GUE5	PF03166	MH2	SSF49879	SMAD/FHA domain
G5EBK1	PF00999	Na_H_Exchanger		
G5EBY8	PF00019	TGF_beta	SSF57501	Cystine-knot cytokines
G5ECG2	PF00170	bZIP_1	SSF57959	Leucine zipper domain
G5ECU7			SSF57959	Leucine zipper domain
G5ED35	PF01060	TTR-52		
G5EDE5	PF06535	RGM_N		
G5EDM7	PF08782	c-SKI_SMAD_bind	SSF63763	SAND domain-like
G5EEE2	PF00027	cNMP_binding	SSF81324	Voltage-gated potassium channels
G5EEH5	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
G5EF48	PF03798	TRAM_LAG1_CLN8		
G5EFJ9	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
G5EG11	PF00487	FA_desaturase	SSF55856	Cytochrome b5-like heme/steroid binding domain
G5EG44	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
G5EG86			SSF50249	Nucleic acid-binding proteins
G5EGA5	PF00487	FA_desaturase		
H2KYS3	PF00067	p450	SSF48264	Cytochrome P450
O01700	PF00069	Pkinase	SSF56112	Protein kinase-like (PK-like)
O16262	PF07714	PK_Tyr_Ser-Thr	SSF56112	Protein kinase-like (PK-like)
O16374	PF01697	Glyco_transf_92		
O16850	PF00250	Forkhead	SSF46785	Winged helix' DNA-binding domain
P34607	PF01927	Mut7-C	SSF53098	Ribonuclease H-like
Q09251	PF13639	zf-RING_2	SSF57850	RING/U-box
Q09274	PF00858	ASC		
Q11186	PF01734	Patatin	SSF52151	FabD/lysophospholipase-like
Q17607	PF01331	mRNA_cap_enzyme	SSF50249	Nucleic acid-binding proteins
Q18425	PF00781	DAGK_cat	SSF111331	NAD kinase/diacylglycerol kinase-like
Q19706	PF00076	RRM_1	SSF54928	RNA-binding domain, RBD
Q20800	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q21222	PF17862	AAA_lid_3	SSF52540	P-loop containing nucleoside triphosphate hydrolases
Q21446				
Q21738	PF11952	XTBD		
Q22492	PF14845	Glycohydro_20b2	SSF55545	beta-N-acetylhexosaminidase-like domain
Q22592	PF17675	APG6_N		
Q22629	PF05454	DAG1	SSF49313	Cadherin-like
Q23462	PF10263	SprT-like		
Q7Z139	PF03798	TRAM_LAG1_CLN8		
Q8I4B0	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q8T5S1	PF00999	Na_H_Exchanger		
Q93380	PF05978	UNC-93	SSF103473	MFS general substrate transporter
Q95XZ6	PF04193	PQ-loop		
Q966W3	PF00685	Sulfotransfer_1	SSF52540	P-loop containing nucleoside triphosphate hydrolases
Q9GYF0	PF13965	SID-1_RNA_chan		
Q9GZC8	PF13965	SID-1_RNA_chan		
Q9N491	PF01762	Galactosyl_T		
Q9NA64	PF08357	SEFIR		
Q9NEQ0	PF00487	FA_desaturase		
Q9TXH9	PF00789	UBX	SSF54236	Ubiquitin-like
Q9XVQ9	PF01151	ELO		
A0A078BQN7	PF00250	Forkhead	SSF46785	Winged helix' DNA-binding domain
D3YT16				
G5ED45	PF03798	TRAM_LAG1_CLN8		
G5ED46	PF19699	CLSTN_C	SSF49899	Concanavalin A-like lectins/glucanases
G5ED89				
G5EEE5	PF01151	ELO		
G5EFY8	PF00049	Insulin	SSF56994	Insulin-like
G5EGH2	PF03453	MoeA_N	SSF53218	Molybdenum cofactor biosynthesis proteins
H2KZZ6	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
O01916	PF01066	CDP-OH_P_transf		
O16452	PF00999	Na_H_Exchanger		
O18235	PF13489	Methyltransf_23	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
O45228	PF01619	Pro_dh	SSF51730	FAD-linked oxidoreductase
P17511				
P30639	PF13517	FG-GAP_3	SSF69318	Integrin alpha N-terminal domain
P34489	PF02181	FH2	SSF101447	Formin homology 2 domain (FH2 domain)
P34630	PF03932	CutC	SSF110395	CutC-like
P35449	PF00999	Na_H_Exchanger		
P42001				
P49191	PF01151	ELO		
P54889	PF00171	Aldedh	SSF53633	Carbamate kinase-like
Q03562	PF13632	Glyco_trans_2_3	SSF53448	Nucleotide-diphospho-sugar transferases
Q09377				
Q1ZXS5	PF10367	Vps39_2	SSF50978	WD40 repeat-like
Q20300	PF01151	ELO		
Q20303	PF01151	ELO		
Q22747	PF09779	Ima1_N		
Q27365				
Q95QD1	PF15982	TMEM135_C_rich		
Q95XG7	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q9N3P1				
U4PCM1	PF00400	WD40	SSF50978	WD40 repeat-like
F3Y5R4	PF01151	ELO		
G5EC63	PF08557	Lipid_DES		
G5ECA8			SSF57424	LDL receptor-like module
G5EDG9	PF00728	Glyco_hydro_20	SSF51445	(Trans)glycosidases
G5EDS9	PF03166	MH2	SSF49879	SMAD/FHA domain
G5EDX7	PF07742	BTG	SSF160696	BTG domain-like
G5EE70				
G5EF51	PF00412	LIM	SSF54001	Cysteine proteinases
G5EF97	PF00098	zf-CCHC	SSF57756	Retrovirus zinc finger-like domains
G5EFL1	PF00728	Glyco_hydro_20	SSF51445	(Trans)glycosidases
H2L033	PF05699	Dimer_Tnp_hAT	SSF53098	Ribonuclease H-like
O17554	PF04116	FA_hydroxylase		
O17560	PF05060	MGAT2	SSF53448	Nucleotide-diphospho-sugar transferases
O17617	PF00250	Forkhead	SSF46785	Winged helix' DNA-binding domain
O18143	PF03034	PSS		
O44749				
O61907	PF01448	ELM2	SSF46689	Homeodomain-like
O62301	PF10220	Smg8_Smg9		
O62317	PF12815	CTD		
